StepId,RecordingId,ProcessId,TimeStamp,StepName,StepDescription,ApplicationProcessName,ApplicationParentWindowName,AutomationStep,NextStepId,label_EventName,label_EventId,Process_Name,Connectors
0,Recording_5,Process_4,2022-02-21T09:51:53+00:00,Select menu option in window,Google Chrome - 3 running windows in Quick Launch Bar,,,"[""UIAutomation.SelectMenuOption Control: appmask['Quick Launch Bar']['Google Chrome - 3 running windows']\n""]",2.0,Go to the note taking app and open the file having details of newly assigned roles to employees,Event_17,Office365users/sendmail/onenote,onenote
1,Recording_5,Process_4,2022-02-21T09:51:56+00:00,Click UI element in window,List Item 'New Tab - Google Chrome' in List 'Task Switcher',,Task Switcher,"[""UIAutomation.Click Element: appmask['List \\'Task Switcher\\'']['List Item \\'New Tab - Google Chrome\\''] ClickType: UIAutomation.ClickType.LeftClick OffsetX: 6 OffsetY: -9 MousePositionRelativeToElement: UIAutomation.RectangleEdgePoint.MiddleCenter\n""]",3.0,Go to the note taking app and open the file having details of newly assigned roles to employees,Event_17,Office365users/sendmail/onenote,onenote
2,Recording_5,Process_4,2022-02-21T09:51:59+00:00,Press button in window,Button 'Notebook' in Pane 'New Tab - Google Chrome - Name',chrome,New Tab - Google Chrome - Name,"[""UIAutomation.PressButton Button: appmask['Pane \\'New Tab - Google Chrome - Name\\'']['Button \\'Notebook\\'']\n""]",4.0,Go to the note taking app and open the file having details of newly assigned roles to employees,Event_17,Office365users/sendmail/onenote,onenote
3,Recording_5,Process_4,2022-02-21T09:52:03+00:00,Click UI element in window,Text 'All Notes' in Pane 'New Tab - Google Chrome - Name',chrome,New Tab - Google Chrome - Name,"[""UIAutomation.Click Element: appmask['Pane \\'New Tab - Google Chrome - Name\\'']['Text \\'All Notes\\''] ClickType: UIAutomation.ClickType.LeftClick OffsetX: -8 OffsetY: 5 MousePositionRelativeToElement: UIAutomation.RectangleEdgePoint.TopCenter\n""]",5.0,Go to the note taking app and open the file having details of newly assigned roles to employees,Event_17,Office365users/sendmail/onenote,onenote
4,Recording_5,Process_4,2022-02-21T09:52:05+00:00,Click UI element in window,Text 'List of Employee New Role' in Pane 'New Tab - Google Chrome - Name',chrome,New Tab - Google Chrome - Name,"[""UIAutomation.Click Element: appmask['Pane \\'New Tab - Google Chrome - Name\\'']['Text \\'List of Employee New Role\\''] ClickType: UIAutomation.ClickType.LeftClick OffsetX: 47 OffsetY: 5 MousePositionRelativeToElement: UIAutomation.RectangleEdgePoint.TopLeft\n""]",6.0,Go to the note taking app and open the file having details of newly assigned roles to employees,Event_17,Office365users/sendmail/onenote,onenote
5,Recording_5,Process_4,2022-02-21T09:52:11+00:00,Drag and drop UI element in window,Image 'To get  ...  the context menu.' in Pane 'New Tab - Google Chrome - Name',chrome,New Tab - Google Chrome - Name,"[""UIAutomation.DragAndDropElement MouseDownOffsetY: -32 MouseDownOffsetX: 5 RectangleEdgePointForMouseDown: UIAutomation.RectangleEdgePoint.BottomLeft ControlToDrag: appmask['Pane \\'New Tab - Google Chrome - Name\\'']['Image \\'To get  ...  the context menu.\\''] MouseUpOffsetY: -5 MouseUpOffsetX: 39 RectangleEdgePointForMouseUp: UIAutomation.RectangleEdgePoint.BottomLeft ControlToDropOver: appmask['Pane \\'New Tab - Google Chrome - Name\\'']['Image \\'To get  ...  the context menu.\\''] ClickType: UIAutomation.DragAndDropClickType.LeftClick\n""]",7.0,Go to the note taking app and open the file having details of newly assigned roles to employees,Event_17,Office365users/sendmail/onenote,onenote
6,Recording_5,Process_4,2022-02-21T09:52:13+00:00,Click UI element in window,Document 'Notebook' in Pane 'New Tab - Google Chrome - Name',chrome,New Tab - Google Chrome - Name,"[""UIAutomation.Click Element: appmask['Pane \\'New Tab - Google Chrome - Name\\'']['Document \\'Notebook\\''] ClickType: UIAutomation.ClickType.LeftClick OffsetX: -243 OffsetY: 27 MousePositionRelativeToElement: UIAutomation.RectangleEdgePoint.TopRight\n""]",8.0,Go to the note taking app and open the file having details of newly assigned roles to employees,Event_17,Office365users/sendmail/onenote,onenote
7,Recording_5,Process_4,2022-02-21T09:52:33+00:00,Click UI element in window,List Item 'New Tab - Google Chrome' 2 in List 'Task Switcher',,Task Switcher,"[""UIAutomation.Click Element: appmask['List \\'Task Switcher\\'']['List Item \\'New Tab - Google Chrome\\' 2'] ClickType: UIAutomation.ClickType.LeftClick OffsetX: -24 OffsetY: 7 MousePositionRelativeToElement: UIAutomation.RectangleEdgePoint.MiddleCenter\n""]",9.0,Login to the company's employee directory,Event_18,Office365users/sendmail/onenote,Office365users
8,Recording_5,Process_4,2022-02-21T09:52:35+00:00,Press button in window,Button 'Microsoft 365 admin center - Home' in Pane 'New Tab - Google Chrome - Name',chrome,New Tab - Google Chrome - Name,"[""UIAutomation.PressButton Button: appmask['Pane \\'New Tab - Google Chrome - Name\\'']['Button \\'Microsoft 365 admin center - Home\\'']\n""]",10.0,Login to the company's employee directory,Event_18,Office365users/sendmail/onenote,Office365users
9,Recording_5,Process_4,2022-02-21T09:52:39+00:00,Select menu option in window,Menu Item 'Users' in Pane 'New Tab - Google Chrome - Name',chrome,New Tab - Google Chrome - Name,"[""UIAutomation.SelectMenuOption Control: appmask['Pane \\'New Tab - Google Chrome - Name\\'']['Menu Item \\'Users\\'']\n""]",11.0,Change the roles of respective employee in directory,Event_19,Office365users/sendmail/onenote,Office365users
