"","StepId","RecordingId","ProcessId","TimeStamp","DurationSec","StepName","StepDescription","ApplicationProcessName","ApplicationParentWindowName","AutomationStep","NextStepId","label_EventName","label_EventId","Process_Name","Connectors"
"1",0,"Recording_39","Process_13",2022-02-26 08:09:43,2,"Press button in window","Mail - 1 running window in Quick Launch Bar","","","[""UIAutomation.PressButton Button: appmask['Quick Launch Bar']['Mail - 1 running window']\n""]",2,"Go to the Mail box ","Event_188","Outlook/dynamicscrmonline","Outlook"
"2",1,"Recording_39","Process_13",2022-02-26 08:09:45,2,"Click UI element in window","List Item 'Inbox folder, 1 unread, favorite' in Window 'Inbox - Outlook ‎- Mail'","ApplicationFrameHost","Inbox - Outlook ‎- Mail","[""UIAutomation.Click Element: appmask['Window \\'Inbox - Outlook \u200e- Mail\\'']['List Item \\'Inbox folder, 1 unread, favorite\\''] ClickType: UIAutomation.ClickType.LeftClick OffsetX: -31 OffsetY: -2 MousePositionRelativeToElement: UIAutomation.RectangleEdgePoint.MiddleCenter\n""]",3,"Find the Mail of Customer detail file ","Event_189","Outlook/dynamicscrmonline","Outlook"
"3",2,"Recording_39","Process_13",2022-02-26 08:09:47,2,"Click UI element in window","List Item ' Unread  ...  8563214785' in Window 'Inbox - Outlook ‎- Mail'","ApplicationFrameHost","Inbox - Outlook ‎- Mail","[""UIAutomation.Click Element: appmask['Window \\'Inbox - Outlook \u200e- Mail\\'']['List Item \\' Unread  ...  8563214785\\''] ClickType: UIAutomation.ClickType.LeftClick OffsetX: 173 OffsetY: 5 MousePositionRelativeToElement: UIAutomation.RectangleEdgePoint.MiddleLeft\n""]",4,"Find the Mail of Customer detail file ","Event_189","Outlook/dynamicscrmonline","Outlook"
"4",3,"Recording_39","Process_13",2022-02-26 08:09:49,4,"Click UI element in window","Edit 'Message' in Window 'Inbox - Outlook ‎- Mail'","ApplicationFrameHost","Inbox - Outlook ‎- Mail","[""UIAutomation.Click Element: appmask['Window \\'Inbox - Outlook \u200e- Mail\\'']['Edit \\'Message\\''] ClickType: UIAutomation.ClickType.LeftClick OffsetX: -23 OffsetY: 174 MousePositionRelativeToElement: UIAutomation.RectangleEdgePoint.TopCenter\n""]",5,"Find the Mail of Customer detail file ","Event_189","Outlook/dynamicscrmonline","Outlook"
"5",4,"Recording_39","Process_13",2022-02-26 08:09:53,2,"Press button in window","Firefox - 1 running window in Quick Launch Bar","","","[""UIAutomation.PressButton Button: appmask['Quick Launch Bar']['Firefox - 1 running window']\n""]",6,"Open the crm tool","Event_190","Outlook/dynamicscrmonline","Outlook"
"6",5,"Recording_39","Process_13",2022-02-26 08:09:55,9,"Press button in window","Button 'Open a new tab (Ctrl+T)' in Window 'Mozilla Firefox'","firefox","Mozilla Firefox","[""UIAutomation.PressButton Button: appmask['Window \\'Mozilla Firefox\\'']['Button \\'Open a new tab (Ctrl+T)\\'']\n""]",7,"Open the crm tool","Event_190","Outlook/dynamicscrmonline","dynamicscrmonline"
"7",6,"Recording_39","Process_13",2022-02-26 08:10:04,0,"Populate text field in window","Edit 'Search with Google or enter address' in Window 'Mozilla Firefox'; Text:'dynemic crm login'","firefox","Mozilla Firefox","[""UIAutomation.PopulateTextField TextField: appmask['Window \\'Mozilla Firefox\\'']['Edit \\'Search with Google or enter address\\''] Text: 'dynemic crm login' Mode: UIAutomation.PopulateTextMode.Replace ClickType: UIAutomation.PopulateMouseClickType.SingleClick\n"", 'WAIT 2\n', ""MouseAndKeyboard.SendKeys TextToSend: '{Return}'\n""]",8,"Open the crm tool","Event_190","Outlook/dynamicscrmonline","dynamicscrmonline"
"8",7,"Recording_39","Process_13",2022-02-26 08:10:04,5,"Send keys","TextToSend:'{Return}'","","","[""UIAutomation.PopulateTextField TextField: appmask['Window \\'Mozilla Firefox\\'']['Edit \\'Search with Google or enter address\\''] Text: 'dynemic crm login' Mode: UIAutomation.PopulateTextMode.Replace ClickType: UIAutomation.PopulateMouseClickType.SingleClick\n"", 'WAIT 2\n', ""MouseAndKeyboard.SendKeys TextToSend: '{Return}'\n""]",9,"Open the crm tool","Event_190","Outlook/dynamicscrmonline","dynamicscrmonline"
"9",8,"Recording_39","Process_13",2022-02-26 08:10:09,9,"Click UI element in window","Hyperlink 'Microsoft  ... om › en-in' in Window 'dynemic crm  ...  — Mozilla Firefox'","firefox","dynemic crm login - Google Search — Mozilla Firefox","[""UIAutomation.Click Element: appmask['Window \\'dynemic crm  ...  — Mozilla Firefox\\'']['Hyperlink \\'Microsoft  ... om › en-in\\''] ClickType: UIAutomation.ClickType.LeftClick OffsetX: 32 OffsetY: 3 MousePositionRelativeToElement: UIAutomation.RectangleEdgePoint.MiddleCenter\n""]",10,"Open the crm tool","Event_190","Outlook/dynamicscrmonline","dynamicscrmonline"
"10",9,"Recording_39","Process_13",2022-02-26 08:10:18,23,"Click UI element in window","Hyperlink 'Get started' in Window 'Business  ...  — Mozilla Firefox'","firefox","Business Applications | Microsoft Dynamics 365 — Mozilla Firefox","[""UIAutomation.Click Element: appmask['Window \\'Business  ...  — Mozilla Firefox\\'']['Hyperlink \\'Get started\\''] ClickType: UIAutomation.ClickType.LeftClick OffsetX: -16 OffsetY: -4 MousePositionRelativeToElement: UIAutomation.RectangleEdgePoint.BottomRight\n""]",12,"Open the crm tool","Event_190","Outlook/dynamicscrmonline","dynamicscrmonline"
"11",10,"Recording_39","Process_13",2022-02-26 08:10:41,11,"Click UI element in window","Edit 'Try for free' in Window 'Start a Free  ...  — Mozilla Firefox'","firefox","Start a Free Trial for Microsoft Dynamics 365| Microsoft Dynamics 365 — Mozilla Firefox","[""UIAutomation.Click Element: appmask['Window \\'Start a Free  ...  — Mozilla Firefox\\'']['Edit \\'Try for free\\''] ClickType: UIAutomation.ClickType.LeftClick OffsetX: 9 OffsetY: 4 MousePositionRelativeToElement: UIAutomation.RectangleEdgePoint.TopCenter\n""]",13,"Open the crm tool","Event_190","Outlook/dynamicscrmonline","dynamicscrmonline"
