"RecordingId","ProcessId","TimeStamp","StepName","StepDescription","ApplicationProcessName","ApplicationParentWindowName","AutomationStep","NextStepId","label_EventName","label_EventId","Process_Name","Connectors"
"Recording_99","Process_39","2022-02-17T06:43:16+00:00","Press button in window","Button 'Type here to search' in TaskBar","","","[""UIAutomation.PressButton Button: appmask['TaskBar']['Button \\'Type here to search\\'']\n""]","2","Locate mail in Mail box","Event_461","Outlook/powerbi","Outlook"
"Recording_99","Process_39","2022-02-17T06:43:18+00:00","Populate text field in window","Edit 'Search box' in Window 'Search'; Text:'mail'","SearchApp","Search","[""UIAutomation.PopulateTextField TextField: appmask['Window \\'Search\\'']['Edit \\'Search box\\''] Text: 'mail' Mode: UIAutomation.PopulateTextMode.Replace ClickType: UIAutomation.PopulateMouseClickType.SingleClick\n""]","3","Locate mail in Mail box","Event_461","Outlook/powerbi","Outlook"
"Recording_99","Process_39","2022-02-17T06:43:20+00:00","Click UI element in window","List Item 'Mail, App, Press right to switch preview' in Window 'Search'","SearchApp","Search","[""UIAutomation.Click Element: appmask['Window \\'Search\\'']['List Item \\'Mail, App, Press right to switch preview\\''] ClickType: UIAutomation.ClickType.LeftClick OffsetX: -72 OffsetY: 17 MousePositionRelativeToElement: UIAutomation.RectangleEdgePoint.TopRight\n""]","4","Locate mail in Mail box","Event_461","Outlook/powerbi","Outlook"
"Recording_99","Process_39","2022-02-17T06:43:23+00:00","Click UI element in window","List Item ' Unread  ...  Thanks, Name Surname' in Window 'Inbox - Outlook ‎- Mail'","ApplicationFrameHost","Inbox - Outlook ‎- Mail","[""UIAutomation.Click Element: appmask['Window \\'Inbox - Outlook \u200e- Mail\\'']['List Item \\' Unread  ...  Thanks, Name Surname\\''] ClickType: UIAutomation.ClickType.LeftClick OffsetX: -32 OffsetY: 13 MousePositionRelativeToElement: UIAutomation.RectangleEdgePoint.MiddleCenter\n""]","5","Locate mail in Mail box","Event_461","Outlook/powerbi","Outlook"
"Recording_99","Process_39","2022-02-17T06:43:27+00:00","Click UI element in window","List Item 'Open Raw  ...  14.89 KB attachment' in Window 'Inbox - Outlook ‎- Mail'","ApplicationFrameHost","Inbox - Outlook ‎- Mail","[""UIAutomation.Click Element: appmask['Window \\'Inbox - Outlook \u200e- Mail\\'']['List Item \\'Open Raw  ...  14.89 KB attachment\\''] ClickType: UIAutomation.ClickType.RightClick OffsetX: -45 OffsetY: 3 MousePositionRelativeToElement: UIAutomation.RectangleEdgePoint.MiddleRight\n""]","6","Save the attachment received in mail","Event_462","Outlook/powerbi","Outlook"
"Recording_99","Process_39","2022-02-17T06:43:30+00:00","Press button in window","Button 'Save' in Window 'Inbox - Outlook ‎- Mail'","ApplicationFrameHost","Inbox - Outlook ‎- Mail","[""UIAutomation.PressButton Button: appmask['Window \\'Inbox - Outlook \u200e- Mail\\'']['Button \\'Save\\'']\n""]","7","Save the attachment received in mail","Event_462","Outlook/powerbi","Outlook"
"Recording_99","Process_39","2022-02-17T06:43:37+00:00","Click UI element in window","Tree Item 'Desktop' in Window 'Inbox - Outlook ‎- Mail'","ApplicationFrameHost","Inbox - Outlook ‎- Mail","[""UIAutomation.Click Element: appmask['Window \\'Inbox - Outlook \u200e- Mail\\'']['Tree Item \\'Desktop\\''] ClickType: UIAutomation.ClickType.LeftClick OffsetX: -4 OffsetY: -4 MousePositionRelativeToElement: UIAutomation.RectangleEdgePoint.MiddleRight\n""]","8","Save the attachment received in mail","Event_462","Outlook/powerbi","Outlook"
"Recording_99","Process_39","2022-02-17T06:43:40+00:00","Press button in window","Button 'Save' 2 in Window 'Inbox - Outlook ‎- Mail'","ApplicationFrameHost","Inbox - Outlook ‎- Mail","[""UIAutomation.PressButton Button: appmask['Window \\'Inbox - Outlook \u200e- Mail\\'']['Button \\'Save\\' 2']\n""]","9","Save the attachment received in mail","Event_462","Outlook/powerbi","Outlook"
"Recording_99","Process_39","2022-02-17T06:43:47+00:00","Press button in window","Firefox - 1 running window in Quick Launch Bar","","","[""UIAutomation.PressButton Button: appmask['Quick Launch Bar']['Firefox - 1 running window']\n""]","10","Open the data analytic tool & load the data","Event_463","Outlook/powerbi","Powerbi"
"Recording_99","Process_39","2022-02-17T06:43:51+00:00","Press button in window","Button 'Open a new tab (Ctrl+T)' in Window 'Process advisor | Power Automate — Mozilla Firefox'","firefox","Process advisor | Power Automate — Mozilla Firefox","[""UIAutomation.PressButton Button: appmask['Window \\'Process advisor | Power Automate — Mozilla Firefox\\'']['Button \\'Open a new tab (Ctrl+T)\\'']\n""]","11","Open the data analytic tool & load the data","Event_463","Outlook/powerbi","Powerbi"
"Recording_99","Process_39","2022-02-17T06:43:57+00:00","Populate text field in window","Edit 'Search with Google or enter address' in Window 'Mozilla Firefox'; Text:'o365'","firefox","Mozilla Firefox","[""UIAutomation.PopulateTextField TextField: appmask['Window \\'Mozilla Firefox\\'']['Edit \\'Search with Google or enter address\\''] Text: 'o365' Mode: UIAutomation.PopulateTextMode.Replace ClickType: UIAutomation.PopulateMouseClickType.SingleClick\n""]","12","Open the data analytic tool & load the data","Event_463","Outlook/powerbi","Powerbi"
"Recording_99","Process_39","2022-02-17T06:43:58+00:00","Send keys","TextToSend:'{Return}'","","","['WAIT 2\n', ""MouseAndKeyboard.SendKeys TextToSend: '{Return}'\n""]","13","Open the data analytic tool & load the data","Event_463","Outlook/powerbi","Powerbi"
"Recording_99","Process_39","2022-02-17T06:44:03+00:00","Click UI element in window","Hyperlink 'Office  ... office.com' in Window 'o365 - Google Search — Mozilla Firefox'","firefox","o365 - Google Search — Mozilla Firefox","[""UIAutomation.Click Element: appmask['Window \\'o365 - Google Search — Mozilla Firefox\\'']['Hyperlink \\'Office  ... office.com\\''] ClickType: UIAutomation.ClickType.LeftClick OffsetX: 6 OffsetY: -15 MousePositionRelativeToElement: UIAutomation.RectangleEdgePoint.BottomCenter\n""]","14","Open the data analytic tool & load the data","Event_463","Outlook/powerbi","Powerbi"
"Recording_99","Process_39","2022-02-17T06:44:13+00:00","Select menu option in window","Menu Item 'App launcher' in Window 'Microsoft Office Home — Mozilla Firefox'","firefox","Microsoft Office Home — Mozilla Firefox","[""UIAutomation.SelectMenuOption Control: appmask['Window \\'Microsoft Office Home — Mozilla Firefox\\'']['Menu Item \\'App launcher\\'']\n""]","15","Open the data analytic tool & load the data","Event_463","Outlook/powerbi","Powerbi"
"Recording_99","Process_39","2022-02-17T06:44:17+00:00","Press button in window","Button 'All apps' in Window 'Microsoft Office Home — Mozilla Firefox'","firefox","Microsoft Office Home — Mozilla Firefox","[""UIAutomation.PressButton Button: appmask['Window \\'Microsoft Office Home — Mozilla Firefox\\'']['Button \\'All apps\\'']\n""]","16","Open the data analytic tool & load the data","Event_463","Outlook/powerbi","Powerbi"
"Recording_99","Process_39","2022-02-17T06:44:23+00:00","Populate text field in window","Edit 'Search all of  ...  bar as you type.' in Window 'Microsoft Office Home — Mozilla Firefox'; Text:'power'","firefox","Microsoft Office Home — Mozilla Firefox","[""UIAutomation.PopulateTextField TextField: appmask['Window \\'Microsoft Office Home — Mozilla Firefox\\'']['Edit \\'Search all of  ...  bar as you type.\\''] Text: 'power' Mode: UIAutomation.PopulateTextMode.Replace ClickType: UIAutomation.PopulateMouseClickType.SingleClick\n""]","17","Open the data analytic tool & load the data","Event_463","Outlook/powerbi","Powerbi"
"Recording_99","Process_39","2022-02-17T06:44:26+00:00","Click UI element in window","Hyperlink 'Power BI' in Window 'Microsoft Office Home — Mozilla Firefox'","firefox","Microsoft Office Home — Mozilla Firefox","[""UIAutomation.Click Element: appmask['Window \\'Microsoft Office Home — Mozilla Firefox\\'']['Hyperlink \\'Power BI\\''] ClickType: UIAutomation.ClickType.LeftClick OffsetX: 32 OffsetY: -5 MousePositionRelativeToElement: UIAutomation.RectangleEdgePoint.MiddleLeft\n""]","18","Open the data analytic tool & load the data","Event_463","Outlook/powerbi","Powerbi"
"Recording_99","Process_39","2022-02-17T06:45:01+00:00","Click UI element in window","Hyperlink 'Get data' in Window 'Power BI — Mozilla Firefox'","firefox","Power BI — Mozilla Firefox","[""UIAutomation.Click Element: appmask['Window \\'Power BI — Mozilla Firefox\\'']['Hyperlink \\'Get data\\''] ClickType: UIAutomation.ClickType.LeftClick OffsetX: -31 OffsetY: -6 MousePositionRelativeToElement: UIAutomation.RectangleEdgePoint.MiddleCenter\n""]","19","Open the data analytic tool & load the data","Event_463","Outlook/powerbi","Powerbi"
"Recording_99","Process_39","2022-02-17T06:45:17+00:00","Press button in window","Button 'Files, Get' in Window 'Power BI — Mozilla Firefox'","firefox","Power BI — Mozilla Firefox","[""UIAutomation.PressButton Button: appmask['Window \\'Power BI — Mozilla Firefox\\'']['Button \\'Files, Get\\'']\n""]","20","Open the data analytic tool & load the data","Event_463","Outlook/powerbi","Powerbi"
"Recording_99","Process_39","2022-02-17T06:45:20+00:00","Press button in window","Button 'Local File' in Window 'Power BI — Mozilla Firefox'","firefox","Power BI — Mozilla Firefox","[""UIAutomation.PressButton Button: appmask['Window \\'Power BI — Mozilla Firefox\\'']['Button \\'Local File\\'']\n""]","21","Open the data analytic tool & load the data","Event_463","Outlook/powerbi","Powerbi"
